n,kryt. rezydualne iteracje,kryt. przyrostowe iteracje,kryt. rezydualne czas,kryt. przyrostowe czas,kryt. rezydualne b³¹d,kryt. przyrostowe b³¹d
5,9,8,0.0,0.0009975433349609375,8.354212987848886e-05,0.00015742398702311977
20,9,8,0.007058858871459961,0.003993988037109375,1.8937491203185886e-05,4.5172857833120084e-05
35,10,8,0.0193023681640625,0.010171175003051758,2.651782644436107e-05,0.0002516612030403209
50,9,8,0.03610944747924805,0.021083593368530273,1.848093519263294e-05,4.830555577317597e-05
65,10,8,0.066436767578125,0.03617119789123535,2.6182444585298725e-05,0.00026084515142577036
80,10,8,0.09916400909423828,0.052687883377075195,2.5821526132285832e-05,0.0002428462162427092
95,9,8,0.1272754669189453,0.07627320289611816,8.58083604554638e-05,0.00017527049401067085
110,10,8,0.18340015411376953,0.10047411918640137,2.6326114283214963e-05,0.0002641460221123326
125,9,8,0.21737337112426758,0.12871336936950684,8.787788345154812e-05,0.00017316177867576776
140,10,8,0.2993917465209961,0.15854525566101074,2.537590051165939e-05,0.00024193174140940688
155,10,8,0.3725852966308594,0.19526243209838867,2.6393286705950203e-05,0.00023888326865528775
170,9,8,0.38918375968933105,0.230133056640625,2.0669190948230387e-05,7.187713324174894e-05
185,10,8,0.5140841007232666,0.2737109661102295,2.6054751086412864e-05,0.0002447042535376198
200,10,8,0.606945276260376,0.3237791061401367,2.5773021289143827e-05,0.00024327225319487056
215,9,8,0.62203049659729,0.37052488327026367,2.005549603323331e-05,4.874271691712728e-05
230,10,8,0.7832436561584473,0.41898512840270996,2.717140372920923e-05,0.00025572873736567914
245,9,8,0.8023920059204102,0.47542238235473633,1.7972736007010326e-05,4.992341166643044e-05
260,9,8,0.8982059955596924,0.5455121994018555,1.6836103291506532e-05,5.4999456666315893e-05
275,9,8,0.9899272918701172,0.58201003074646,8.774044549331173e-05,0.00016909199642090034
290,10,8,1.219923496246338,0.6447749137878418,2.4611105130523114e-05,0.0002426676676945405
305,10,8,1.3658192157745361,0.7366156578063965,2.5715837014272935e-05,0.0002367633694001503
320,9,8,1.3361566066741943,0.8041784763336182,8.240038166607011e-05,0.00015625978821731668
335,9,8,1.469266653060913,0.8787040710449219,2.1219722592280554e-05,7.793893854390888e-05
350,10,8,1.7959117889404297,0.9583055973052979,2.5638875477462797e-05,0.0002616376417073907
365,9,8,1.7540631294250488,1.0409698486328125,8.372729868610929e-05,0.00015574697708098384
380,10,8,2.110445737838745,1.1355843544006348,2.4803842232801188e-05,0.00024620822824683586
395,9,8,2.062692403793335,1.2331538200378418,2.021998535706171e-05,6.975011368526296e-05
410,9,8,2.217134714126587,1.32200288772583,8.161812330442775e-05,0.00015340856346879317
425,9,8,2.392164707183838,1.411372184753418,2.1338648747537547e-05,6.712900002781019e-05
440,10,8,2.8185222148895264,1.5037400722503662,2.553205865829522e-05,0.0002449337943106755
455,10,8,3.027578592300415,1.6267774105072021,2.5505000402992195e-05,0.0002394543290392681
470,9,8,2.910001754760742,1.718275547027588,1.5332395324696435e-05,5.7942971586788516e-05
485,9,8,3.0772883892059326,1.8325555324554443,1.337236571341549e-05,3.7112349825951796e-05
