n,kryt. rezydualne iteracje,kryt. przyrostowe iteracje,kryt. rezydualne czas,kryt. przyrostowe czas,kryt. rezydualne b³¹d,kryt. przyrostowe b³¹d
5,10,8,0.0,0.0009999275207519531,2.7019990640586578e-05,0.0002467432293924432
20,9,8,0.006829261779785156,0.004015684127807617,1.831411911190628e-05,5.3151327813472093e-05
35,9,8,0.01806187629699707,0.009999275207519531,8.315563119443148e-05,0.00015507984839902011
50,9,8,0.03501725196838379,0.021023988723754883,1.7145765356385567e-05,5.7325854266210285e-05
65,9,8,0.05739951133728027,0.03698897361755371,8.277113785049028e-05,0.00015603624641513658
80,9,8,0.08954954147338867,0.052806854248046875,8.702318814080012e-05,0.0001687388061359929
95,10,8,0.14421606063842773,0.07336854934692383,2.636529122790332e-05,0.00023542875209769942
110,9,8,0.16495108604431152,0.09689688682556152,8.257756788987436e-05,0.0001569583229061866
125,10,8,0.23612356185913086,0.1328744888305664,2.5411623805204897e-05,0.00023808539251546357
140,9,8,0.27063465118408203,0.16057252883911133,8.791591294343704e-05,0.00017031578831461225
155,9,8,0.3236875534057617,0.19478988647460938,8.531318024629364e-05,0.00017269874901126858
170,9,8,0.3919682502746582,0.23668909072875977,1.395438187312692e-05,3.567905567136709e-05
185,9,8,0.4681708812713623,0.26986074447631836,8.534744643029502e-05,0.00016710356901405987
200,9,8,0.5393240451812744,0.32172083854675293,8.653626492338695e-05,0.00016921027373539843
215,9,7,0.6278109550476074,0.31940603256225586,1.5413921909734896e-05,0.00017472098880877418
230,9,8,0.7137563228607178,0.4261767864227295,8.130506657400005e-05,0.00015682204863010085
245,9,8,0.7968223094940186,0.4749419689178467,1.6221816925954258e-05,5.733801188778642e-05
260,9,8,0.8977701663970947,0.534430742263794,1.7633823766183276e-05,5.277123759261926e-05
275,10,8,1.1138594150543213,0.6086554527282715,2.5173663357636045e-05,0.00024309679571188347
290,9,8,1.1383485794067383,0.6754887104034424,8.943388853532852e-05,0.00016997481860525632
305,9,8,1.2228519916534424,0.7290966510772705,8.727645278927554e-05,0.00017550231644780645
320,10,8,1.4977166652679443,0.8012018203735352,2.6240315619152632e-05,0.0002641029616233803
335,9,8,1.475409984588623,0.8828601837158203,1.2969955284214407e-05,2.9576803516673245e-05
350,9,8,1.6351027488708496,0.969369649887085,8.417847756903019e-05,0.00015376800533239976
365,10,8,1.9461743831634521,1.0442407131195068,2.604028240449363e-05,0.0002566344895839068
380,9,8,1.9157285690307617,1.137676477432251,8.841432160178186e-05,0.00016651508213505473
395,9,8,2.068150043487549,1.2264726161956787,1.3967561050209909e-05,3.7844444561341284e-05
410,10,8,2.487783670425415,1.3247570991516113,2.6805986365951995e-05,0.00025933346940876234
425,8,8,2.1188509464263916,1.4164938926696777,4.050391112009333e-05,4.050391112009333e-05
440,9,8,2.530411958694458,1.5169131755828857,8.678448446608478e-05,0.00016782430618678124
455,9,8,2.7406928539276123,1.623255968093872,8.738575942957016e-05,0.00017304344857149712
470,9,8,2.9382591247558594,1.7286298274993896,1.9006322384829133e-05,4.999748792999803e-05
485,9,8,3.170950174331665,1.8593835830688477,2.0812900989986005e-05,7.05830080383052e-05
