n,kryt. rezydualne iteracje,kryt. przyrostowe iteracje,kryt. rezydualne czas,kryt. przyrostowe czas,kryt. rezydualne b³¹d,kryt. przyrostowe b³¹d
5,16,14,0.0009996891021728516,0.0010075569152832031,3.113799673659656e-08,2.848029838631305e-07
20,14,13,0.009131669998168945,0.005987882614135742,1.0420587281956273e-08,4.967841071845669e-08
35,16,14,0.03099370002746582,0.018454790115356445,2.982899505177272e-08,2.6394051100275817e-07
50,14,13,0.05511283874511719,0.03289461135864258,1.0742153611076333e-08,4.055704228012047e-08
65,16,14,0.1089162826538086,0.06116366386413574,2.991130254592633e-08,2.626759714186022e-07
80,16,14,0.15702462196350098,0.09872817993164062,2.994558689906057e-08,2.6579236345192214e-07
95,16,14,0.2151196002960205,0.12874317169189453,3.111219826212874e-08,2.886239208743646e-07
110,16,14,0.29584240913391113,0.1750955581665039,2.9889649311165556e-08,2.62054551503077e-07
125,16,14,0.3806915283203125,0.22933411598205566,3.129336612062161e-08,2.8888835523765977e-07
140,16,14,0.4733545780181885,0.274183988571167,3.003005577539852e-08,2.6622284254873563e-07
155,16,14,0.5800867080688477,0.3352479934692383,2.982948288376974e-08,2.6609318926062997e-07
170,14,13,0.6088464260101318,0.37659287452697754,1.4264512904205162e-08,3.72152642036383e-08
185,16,14,0.82745361328125,0.4804682731628418,2.990532377289412e-08,2.653685237108405e-07
200,16,14,0.9600293636322021,0.5509333610534668,2.995579140296911e-08,2.657505274727967e-07
215,14,13,0.9583637714385986,0.6007585525512695,1.118970915925388e-08,5.0644627602736136e-08
230,16,14,1.2323241233825684,0.748967170715332,2.9711912929997197e-08,2.6289030241599676e-07
245,14,13,1.2209336757659912,0.7633731365203857,1.0794000804281723e-08,3.5027990730185365e-08
260,14,13,1.3944613933563232,0.8426535129547119,1.1186231940740754e-08,2.648409702654675e-08
275,16,14,1.7457265853881836,1.0168893337249756,3.133727499715633e-08,2.8831923826189154e-07
290,16,14,1.9532506465911865,1.1429049968719482,3.017712968400588e-08,2.665877048002585e-07
305,16,14,2.1780691146850586,1.2793381214141846,2.9955297464745456e-08,2.6684813914101824e-07
320,16,14,2.411975622177124,1.3978779315948486,3.118454261485937e-08,2.84396849736801e-07
335,14,13,2.2901861667633057,1.429626226425171,1.516719250194143e-08,4.30175122190235e-08
350,16,14,2.857618570327759,1.6780459880828857,3.001707116201402e-08,2.628762826306641e-07
365,16,14,3.1387805938720703,1.8438246250152588,3.119437586018847e-08,2.856446145171887e-07
380,16,14,3.428591251373291,1.996204137802124,3.0147381702150255e-08,2.659002538152322e-07
395,14,13,3.1998488903045654,1.984731912612915,1.3877812454765603e-08,3.5748230819976357e-08
410,16,14,3.9242725372314453,2.302286148071289,3.106246482253994e-08,2.8481635183652543e-07
425,14,13,3.727336883544922,2.281651735305786,1.385514403207111e-08,3.2452649456615745e-08
440,16,14,4.540473222732544,2.662346363067627,3.0005806950228475e-08,2.6566453836807113e-07
455,16,14,4.866346836090088,2.849271774291992,3.000024373367438e-08,2.66536529291983e-07
470,13,13,4.225505828857422,2.8141698837280273,3.3186059233969445e-08,3.3186059233969445e-08
485,14,13,4.7778942584991455,2.991905689239502,8.065383472199983e-09,2.5305107564932428e-08
