n,kryt. rezydualne iteracje,kryt. przyrostowe iteracje,kryt. rezydualne czas,kryt. przyrostowe czas,kryt. rezydualne b³¹d,kryt. przyrostowe b³¹d
5,16,14,0.0009958744049072266,0.001018524169921875,3.033352635739561e-08,2.726065619906848e-07
20,12,11,0.008983373641967773,0.00400090217590332,3.307084406323213e-08,1.274408947260497e-07
35,16,14,0.03204035758972168,0.01990485191345215,3.0493930935904245e-08,2.7467169250172674e-07
50,13,11,0.052068471908569336,0.02790355682373047,1.2060488496778987e-08,1.6915029443786977e-07
65,16,14,0.10950517654418945,0.06152653694152832,3.056013420099646e-08,2.7359652610137175e-07
80,16,14,0.15812921524047852,0.09459161758422852,3.061768572010237e-08,2.769414310099805e-07
95,16,14,0.2196955680847168,0.12845420837402344,3.046973351406024e-08,2.7763666110569574e-07
110,16,14,0.29499173164367676,0.17317914962768555,3.054961228432518e-08,2.732021694429321e-07
125,16,14,0.3896651268005371,0.22008728981018066,3.065430398407898e-08,2.7786710976585027e-07
140,16,14,0.4804527759552002,0.26816272735595703,3.068310749920755e-08,2.77367903644965e-07
155,16,14,0.5832486152648926,0.3347961902618408,3.0466428269093626e-08,2.7713502026571746e-07
170,12,12,0.5257833003997803,0.34446215629577637,3.9866560275214624e-08,3.9866560275214624e-08
185,16,14,0.8186163902282715,0.4646108150482178,3.0540825535219085e-08,2.7642415745265936e-07
200,16,14,0.9754080772399902,0.5592076778411865,3.0601262301921395e-08,2.768913743844692e-07
215,13,12,0.9043076038360596,0.5467519760131836,2.830595535741054e-08,1.1749078021594528e-07
230,16,14,1.261770486831665,0.7373683452606201,3.0355081115374105e-08,2.740295816927585e-07
245,13,11,1.1629703044891357,0.6551892757415771,1.279567118928071e-08,1.8359841336135219e-07
260,12,10,1.1843688488006592,0.6773102283477783,1.8953195457527272e-08,2.2889306716677993e-07
275,16,14,1.783292293548584,1.0664763450622559,3.0704238485057544e-08,2.7724046391952584e-07
290,16,14,2.006802558898926,1.1539597511291504,3.081712507402301e-08,2.777246077556583e-07
305,16,14,2.152953863143921,1.2850990295410156,3.05878316009256e-08,2.7793156165412114e-07
320,16,14,2.405493974685669,1.3792364597320557,3.0545686535710104e-08,2.732608611610843e-07
335,13,12,2.153245449066162,1.312014102935791,1.861241161194016e-08,6.115572570575267e-08
350,16,14,2.90020751953125,1.678983211517334,3.065498443977077e-08,2.740114900534607e-07
365,16,14,3.141535997390747,1.8352563381195068,3.056260078349027e-08,2.745542074800156e-07
380,16,14,3.4277050495147705,2.003821611404419,3.078449983817677e-08,2.7703478622242983e-07
395,13,12,2.9744362831115723,1.847102403640747,1.1287855983255213e-08,3.162278350288261e-08
410,16,14,3.9464573860168457,2.3258776664733887,3.0426024033580745e-08,2.7368240762548623e-07
425,13,12,3.4559237957000732,2.1380085945129395,6.356034365495589e-09,5.3777888253669914e-08
440,16,14,4.564203262329102,2.6491429805755615,3.0641662429609084e-08,2.7679796588131467e-07
455,16,14,4.885743618011475,2.880460262298584,3.0631252312396384e-08,2.7763393495305877e-07
470,13,12,4.208222150802612,2.566127061843872,1.939137828088633e-08,7.87960464654347e-08
485,13,12,4.47748589515686,2.7885751724243164,1.083822764869069e-08,2.549701294540796e-08
